#Name	Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein Name
chromosome 1	NC_003070.9	104731	105309	-	839322		AT1G01250	NP_563624.1	192	Integrase-type DNA-binding superfamily protein
chromosome 1	NC_003070.9	109595	111367	+	839545		AT1G01260	NP_001077440.1	590	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
chromosome 1	NC_003070.9	112290	113905	+	839470	CYP703A2	AT1G01280	NP_171635.1	510	cytochrome P450	 family 703	 subfamily A	 polypeptide 2
chromosome 1	NC_003070.9	114299	115296	+	839445	CNX3	AT1G01290	NP_171636.1	270	cofactor of nitrate reductase and xanthine dehydrogenase 3
chromosome 1	NC_003070.9	117065	118522	+	839375		AT1G01300	NP_171637.1	485	Eukaryotic aspartyl protease family protein
chromosome 1	NC_003070.9	119429	119854	+	6240609		AT1G01305	NP_001117205.1	141	hypothetical protein AT1G01305
chromosome 1	NC_003070.9	120221	120946	+	839333		AT1G01310	NP_171638.2	241	CAP (Cysteine-rich secretory proteins	 Antigen 5	 and Pathogenesis-related 1 protein) superfamily protein
chromosome 1	NC_003070.9	121582	130099	-	839293		AT1G01320	NP_171639.3	1797	Tetratricopeptide repeat (TPR)-like superfamily protein
chromosome 1	NC_003070.9	130736	130858	+	28716020		AT1G01335	NP_001323136.1	40	auxin-responsive endogenous peptide protein
chromosome 1	NC_003070.9	132414	135216	-	838832	CNGC10	AT1G01340	NP_001184885.1	711	cyclic nucleotide gated channel 10
chromosome 1	NC_003070.9	136732	137970	+	838964		AT1G01350	NP_171642.2	343	Zinc finger (CCCH-type/C3HC4-type RING finger) family protein
chromosome 1	NC_003070.9	138513	139568	+	6241268		AT1G01355	NP_001117206.1	228	Putative endonuclease or glycosyl hydrolase
chromosome 1	NC_003070.9	142138	142914	+	838452	RCAR1	AT1G01360	NP_563626.1	187	regulatory component of ABA receptor 1
chromosome 1	NC_003070.9	143773	145400	+	839104	HTR12	AT1G01370	NP_001322868.1	178	Histone superfamily protein
chromosome 1	NC_003070.9	147267	147740	+	838096	ETC1	AT1G01380	NP_171645.1	83	Homeodomain-like superfamily protein
chromosome 1	NC_003070.9	148319	149812	-	837790		AT1G01390	NP_001322773.1	497	UDP-Glycosyltransferase superfamily protein
chromosome 1	NC_003070.9	151158	152149	-	837049		AT1G01400	NP_171647.1	204	hypothetical protein AT1G01400
chromosome 1	NC_003070.9	153113	154198	+	837547	PUM22	AT1G01410	NP_171648.1	361	pumilio 22
chromosome 1	NC_003070.9	154566	156020	-	837503	UGT72B3	AT1G01420	NP_001322549.1	484	UDP-glucosyl transferase 72B3
chromosome 1	NC_003070.9	156953	158536	-	837247	TBL25	AT1G01430	NP_171650.2	456	TRICHOME BIREFRINGENCE-LIKE 25
chromosome 1	NC_003070.9	159935	162219	-	837155		AT1G01440	NP_171651.1	664	hypothetical protein (DUF3133)
chromosome 1	NC_003070.9	164105	165517	-	837060		AT1G01450	NP_171652.1	470	Protein kinase superfamily protein
chromosome 1	NC_003070.9	166929	167798	-	6240388		AT1G01453	NP_001117208.1	289	late embryogenesis abundant hydroxyproline-rich glycoprotein family protein
chromosome 1	NC_003070.9	169115	171154	+	839469	PIPK11	AT1G01460	NP_171653.2	427	Phosphatidylinositol-4-phosphate 5-kinase	 core
chromosome 1	NC_003070.9	172295	172826	-	837071	LEA14	AT1G01470	NP_171654.1	151	Late embryogenesis abundant protein
chromosome 1	NC_003070.9	175862	178051	+	837082	ACS2	AT1G01480	NP_171655.1	496	1-amino-cyclopropane-1-carboxylate synthase 2
chromosome 1	NC_003070.9	180401	181680	-	839440		AT1G01490	NP_001321839.1	204	Heavy metal transport/detoxification superfamily protein
chromosome 1	NC_003070.9	185260	186573	+	839430		AT1G01500	NP_563628.1	327	Erythronate-4-phosphate dehydrogenase family protein
chromosome 1	NC_003070.9	187235	189836	+	839401	AN	AT1G01510	NP_563629.1	636	NAD(P)-binding Rossmann-fold superfamily protein
chromosome 1	NC_003070.9	190596	192139	+	839337	ASG4	AT1G01520	NP_171659.1	287	Homeodomain-like superfamily protein
chromosome 1	NC_003070.9	192640	193662	-	837142	AGL28	AT1G01530	NP_171660.1	247	AGAMOUS-like 28
chromosome 1	NC_003070.9	195980	198383	+	839533		AT1G01540	NP_171661.1	472	Protein kinase superfamily protein
chromosome 1	NC_003070.9	200526	201575	+	839536	BPS1	AT1G01550	NP_563630.1	349	BPS1-like protein (DUF793)
chromosome 1	NC_003070.9	202345	204189	+	839523	MPK11	AT1G01560	NP_001117210.1	369	MAP kinase 11
chromosome 1	NC_003070.9	205083	207435	+	837183		AT1G01570	NP_001322080.1	509	transferring glycosyl group transferase (DUF604)
chromosome 1	NC_003070.9	209161	212810	+	839411	FRO2	AT1G01580	NP_001322968.1	803	ferric reduction oxidase 2
chromosome 1	NC_003070.9	214229	217304	+	837194	FRO1	AT1G01590	NP_171665.1	704	ferric reduction oxidase 1
chromosome 1	NC_003070.9	219200	220994	+	839347	CYP86A4	AT1G01600	NP_171666.1	554	cytochrome P450	 family 86	 subfamily A	 polypeptide 4
chromosome 1	NC_003070.9	221950	224255	-	839297	GPAT4	AT1G01610	NP_171667.1	503	glycerol-3-phosphate acyltransferase 4
chromosome 1	NC_003070.9	225986	227176	-	839235	PIP1C	AT1G01620	NP_171668.1	286	plasma membrane intrinsic protein 1C
chromosome 1	NC_003070.9	229206	230675	+	839231		AT1G01630	NP_171669.1	255	Sec14p-like phosphatidylinositol transfer family protein
chromosome 1	NC_003070.9	231164	231915	-	839534		AT1G01640	NP_171670.1	207	BTB/POZ domain-containing protein
chromosome 1	NC_003070.9	233188	237647	-	839499	SPPL4	AT1G01650	NP_171671.2	540	SIGNAL PEPTIDE PEPTIDASE-LIKE 4
chromosome 1	NC_003070.9	240057	242608	-	839461		AT1G01660	NP_001321445.1	569	RING/U-box superfamily protein
chromosome 1	NC_003070.9	242943	245163	-	839365		AT1G01670	NP_001321953.1	365	RING/U-box superfamily protein
chromosome 1	NC_003070.9	246411	248329	-	839251	PUB54	AT1G01680	NP_171674.2	308	plant U-box 54
chromosome 1	NC_003070.9	249242	252221	+	839243	PRD3	AT1G01690	NP_001318904.1	451	putative recombination initiation defects 3
chromosome 1	NC_003070.9	252947	254495	+	6241450	TRM33	AT1G01695	NP_001117211.1	433	Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-like protein
chromosome 1	NC_003070.9	259495	261474	-	839250	ROPGEF2	AT1G01700	NP_001321884.1	515	RHO guanyl-nucleotide exchange factor 2
chromosome 1	NC_003070.9	262950	266029	+	839254		AT1G01710	NP_563632.2	427	acyl-CoA thioesterase II
chromosome 1	NC_003070.9	266517	267504	+	28716021		AT1G01715	NP_001320212.1	139	hypothetical protein AT1G01715
chromosome 1	NC_003070.9	268471	269514	+	839265	ATAF1	AT1G01720	NP_171677.1	289	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
chromosome 1	NC_003070.9	270016	270735	-	839271		AT1G01725	NP_563633.1	62	adenylosuccinate synthetase
chromosome 1	NC_003070.9	271002	271872	+	839260		AT1G01730	NP_563634.1	224	hypothetical protein AT1G01730
chromosome 1	NC_003070.9	272111	274239	-	839253	BSK4	AT1G01740	NP_171679.1	483	kinase with tetratricopeptide repeat domain-containing protein
chromosome 1	NC_003070.9	275614	276126	+	839281	ADF11	AT1G01750	NP_001320442.1	145	actin depolymerizing factor 11
chromosome 1	NC_003070.9	276412	278487	-	839252		AT1G01760	NP_001322030.1	433	denosine deaminases acting on tRNA
chromosome 1	NC_003070.9	278759	282490	+	837323		AT1G01770	NP_171682.2	632	propionyl-CoA carboxylase
chromosome 1	NC_003070.9	282919	284082	+	839267	PLIM2b	AT1G01780	NP_171683.1	205	GATA type zinc finger transcription factor family protein
chromosome 1	NC_003070.9	284781	290869	+	837332	KEA1	AT1G01790	NP_001320631.1	1193	K+ efflux antiporter 1
chromosome 1	NC_003070.9	293396	294888	+	839259		AT1G01800	NP_563635.1	295	NAD(P)-binding Rossmann-fold superfamily protein
chromosome 1	NC_003070.9	295242	295724	+	839247		AT1G01810	NP_171686.1	160	hypothetical protein AT1G01810
chromosome 1	NC_003070.9	296213	297723	-	839257	PEX11C	AT1G01820	NP_563636.1	235	peroxin 11c
chromosome 1	NC_003070.9	298717	300441	-	839264		AT1G01830	NP_001077443.1	574	ARM repeat superfamily protein
chromosome 1	NC_003070.9	303650	304108	+	839291		AT1G01840	NP_563638.1	152	AP2-like ethylene-responsive transcription factor SNZ
chromosome 1	NC_003070.9	304622	306275	-	839283	PFC1	AT1G01860	NP_001322240.1	346	Ribosomal RNA adenine dimethylase family protein
chromosome 1	NC_003070.9	306558	308991	-	837373		AT1G01880	NP_001320987.1	599	5\\'-3\\' exonuclease family protein
chromosome 1	NC_003070.9	310332	313011	+	839318	SBTI1.1	AT1G01900	NP_563639.2	774	subtilase family protein
chromosome 1	NC_003070.9	313595	315831	-	839305		AT1G01910	NP_001077445.1	353	P-loop containing nucleoside triphosphate hydrolases superfamily protein
chromosome 1	NC_003070.9	316204	319507	+	839313		AT1G01920	NP_171694.3	572	SET domain-containing protein
chromosome 1	NC_003070.9	320041	322809	-	839310		AT1G01930	NP_563641.1	580	zinc finger protein-like protein
chromosome 1	NC_003070.9	323082	324719	+	839309		AT1G01940	NP_171696.2	160	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
chromosome 1	NC_003070.9	325473	330403	+	839306	ARK2	AT1G01950	NP_001154301.1	915	armadillo repeat kinesin 2
chromosome 1	NC_003070.9	330830	337582	-	839301	EDA10	AT1G01960	NP_171698.1	1750	SEC7-like guanine nucleotide exchange family protein
chromosome 1	NC_003070.9	338538	339905	+	839299		AT1G01970	NP_171699.1	409	Tetratricopeptide repeat (TPR)-like superfamily protein
chromosome 1	NC_003070.9	340374	341999	-	839296		AT1G01980	NP_171700.1	541	FAD-binding Berberine family protein
chromosome 1	NC_003070.9	343462	344199	-	837456		AT1G01990	NP_563642.1	245	hypothetical protein AT1G01990
chromosome 1	NC_003070.9	346052	347356	+	839289	GAE2	AT1G02000	NP_171702.1	434	UDP-D-glucuronate 4-epimerase 2
chromosome 1	NC_003070.9	348046	352197	+	839288	SEC1A	AT1G02010	NP_001320383.1	703	secretory 1A
chromosome 1	NC_003070.9	352842	354845	-	837477		AT1G02020	NP_171704.2	642	nitroreductase family protein
chromosome 1	NC_003070.9	355385	356188	-	839285		AT1G02030	NP_171705.1	267	C2H2-like zinc finger protein
chromosome 1	NC_003070.9	358104	359078	-	839284		AT1G02040	NP_171706.1	324	C2H2-type zinc finger family protein
chromosome 1	NC_003070.9	359164	360441	-	839280	LAP6	AT1G02050	NP_171707.1	395	Chalcone and stilbene synthase family protein
chromosome 1	NC_003070.9	360918	363050	-	839279		AT1G02060	NP_171708.1	710	Tetratricopeptide repeat (TPR)-like superfamily protein
chromosome 1	NC_003070.9	365625	367149	+	839275	SPL8	AT1G02065	NP_683267.1	333	squamosa promoter binding protein-like 8
chromosome 1	NC_003070.9	366945	367166	-	28716022		AT1G02067	NP_001322443.1	73	hypothetical protein AT1G02067
chromosome 1	NC_003070.9	370445	370947	-	839270		AT1G02070	NP_563644.1	131	zinc ion-binding protein
chromosome 1	NC_003070.9	373335	386682	+	839244		AT1G02080	NP_171710.4	2431	transcription regulator
chromosome 1	NC_003070.9	387479	389568	-	839241	FUS5	AT1G02090	NP_563645.1	260	Proteasome component (PCI) domain protein
chromosome 1	NC_003070.9	389876	392448	+	837541	SBI1	AT1G02100	NP_171712.2	332	Leucine carboxyl methyltransferase
chromosome 1	NC_003070.9	392939	395434	+	839234		AT1G02110	NP_171713.2	703	bZIP domain class transcription factor (DUF630 and DUF632)
chromosome 1	NC_003070.9	395761	399720	+	839232	VAD1	AT1G02120	NP_171714.2	598	GRAM domain family protein
chromosome 1	NC_003070.9	400350	401788	-	837023	RA-5	AT1G02130	NP_171715.1	203	RAS 5
chromosome 1	NC_003070.9	403467	404401	-	837560	MAGO	AT1G02140	NP_171716.1	150	mago nashi family protein
chromosome 1	NC_003070.9	404627	408485	+	5007658	ALG12	AT1G02145	NP_001077448.1	497	homolog of asparagine-linked glycosylation 12
chromosome 1	NC_003070.9	408779	410433	+	839577		AT1G02150	NP_171717.2	524	Tetratricopeptide repeat (TPR)-like superfamily protein
chromosome 1	NC_003070.9	410803	411361	+	839554		AT1G02160	NP_001077449.1	91	Cox19 family protein (CHCH motif)
chromosome 1	NC_003070.9	411883	413426	+	839561	MC1	AT1G02170	NP_171719.2	367	metacaspase 1
chromosome 1	NC_003070.9	413619	414505	-	839543		AT1G02180	NP_171720.2	226	ferredoxin-like protein
chromosome 1	NC_003070.9	415154	417796	+	839541		AT1G02190	NP_171721.3	627	Fatty acid hydroxylase superfamily
chromosome 1	NC_003070.9	418818	422154	+	837602	CER1	AT1G02205	NP_001184890.1	630	Fatty acid hydroxylase superfamily
chromosome 1	NC_003070.9	427548	427811	-	839482		AT1G02210	NP_171724.1	87	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
chromosome 1	NC_003070.9	428902	430567	-	839476	NAC003	AT1G02220	NP_171725.1	394	NAC domain containing protein 3
chromosome 1	NC_003070.9	435174	436775	-	837630	NAC004	AT1G02230	NP_171726.2	359	NAC domain containing protein 4
chromosome 1	NC_003070.9	437951	439559	-	839390	NAC005	AT1G02250	NP_171727.2	362	NAC domain containing protein 5
chromosome 1	NC_003070.9	440757	442459	-	839344		AT1G02260	NP_001320653.1	502	Divalent ion symporter
chromosome 1	NC_003070.9	443301	446197	-	839381		AT1G02270	NP_563646.1	484	Calcium-binding endonuclease/exonuclease/phosphatase family
chromosome 1	NC_003070.9	448665	450246	-	839248	TOC33	AT1G02280	NP_171730.1	297	translocon at the outer envelope membrane of chloroplasts 33
chromosome 1	NC_003070.9	450646	451977	-	839255		AT1G02290	NP_171731.1	443	hypothetical protein AT1G02290
chromosome 1	NC_003070.9	453288	455376	+	839576		AT1G02300	NP_563647.1	379	Cysteine proteinases superfamily protein
chromosome 1	NC_003070.9	455816	457974	+	839538		AT1G02305	NP_563648.1	362	Cysteine proteinases superfamily protein
chromosome 1	NC_003070.9	458243	460712	-	839444	MAN1	AT1G02310	NP_001321462.1	431	Glycosyl hydrolase superfamily protein
chromosome 1	NC_003070.9	461828	461974	+	839425		AT1G02320	NP_171734.1	48	hypothetical protein AT1G02320
chromosome 1	NC_003070.9	462202	463521	-	839367		AT1G02330	NP_563649.1	279	integrator complex subunit-like protein
chromosome 1	NC_003070.9	463979	464876	-	3766642	GL22	AT1G02335	NP_001077450.1	219	germin-like protein subfamily 2 member 2 precursor
chromosome 1	NC_003070.9	465933	467685	-	839300	HFR1	AT1G02340	NP_563650.1	292	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
chromosome 1	NC_003070.9	469818	470693	+	839490		AT1G02350	NP_171737.1	140	protoporphyrinogen oxidase-like protein
chromosome 1	NC_003070.9	472138	473272	-	837724		AT1G02360	NP_001323420.1	324	Chitinase family protein
chromosome 1	NC_003070.9	474516	476383	+	837735		AT1G02370	NP_171739.1	537	Tetratricopeptide repeat (TPR)-like superfamily protein
chromosome 1	NC_003070.9	477814	478850	+	837745		AT1G02380	NP_171740.3	231	transmembrane protein
chromosome 1	NC_003070.9	480921	483163	+	839558	GPAT2	AT1G02390	NP_563651.1	530	glycerol-3-phosphate acyltransferase 2
chromosome 1	NC_003070.9	486964	489391	+	839508	GA2OX6	AT1G02400	NP_171742.1	329	gibberellin 2-oxidase 6
chromosome 1	NC_003070.9	490093	490497	-	837769		AT1G02405	NP_683269.1	134	proline-rich family protein
chromosome 1	NC_003070.9	491300	492762	+	839364		AT1G02410	NP_001321511.1	287	cytochrome c oxidase assembly protein CtaG / Cox11 family
chromosome 1	NC_003070.9	493683	495158	+	837779		AT1G02420	NP_171744.1	491	Pentatricopeptide repeat (PPR) superfamily protein
chromosome 1	NC_003070.9	495175	496062	-	839242	ARFD1B	AT1G02430	NP_171745.3	190	ADP-ribosylation factor D1B
chromosome 1	NC_003070.9	496586	497479	-	839230	ARFD1A	AT1G02440	NP_563652.1	190	ADP-ribosylation factor D1A
chromosome 1	NC_003070.9	498052	498480	-	837800	NIMIN1	AT1G02450	NP_563653.2	142	NIM1-interacting 1
chromosome 1	NC_003070.9	504897	507099	-	839443		AT1G02460	NP_563654.1	491	Pectin lyase-like superfamily protein
chromosome 1	NC_003070.9	511916	513573	-	837812		AT1G02470	NP_563655.1	220	Polyketide cyclase/dehydrase and lipid transport superfamily protein
chromosome 1	NC_003070.9	514110	515331	-	839236		AT1G02475	NP_563656.1	219	Polyketide cyclase/dehydrase and lipid transport superfamily protein
chromosome 1	NC_003070.9	516618	516734	+	28716023		AT1G02490	NP_001318906.1	38	hypothetical protein AT1G02490
chromosome 1	NC_003070.9	519037	520218	+	839501	SAM1	AT1G02500	NP_171751.1	393	S-adenosylmethionine synthetase 1
chromosome 1	NC_003070.9	520687	521626	-	837846	TPK4	AT1G02510	NP_171752.1	284	Outward rectifying potassium channel protein
chromosome 1	NC_003070.9	524134	528745	+	839353	ABCB11	AT1G02520	NP_001322408.1	1278	P-glycoprotein 11
chromosome 1	NC_003070.9	529836	534542	+	839282	ABCB12	AT1G02530	NP_171754.1	1273	P-glycoprotein 12
chromosome 1	NC_003070.9	534827	535699	-	839516		AT1G02540	NP_171755.1	290	hypothetical protein AT1G02540
chromosome 1	NC_003070.9	536483	537211	+	837879		AT1G02550	NP_171756.1	242	Plant invertase/pectin methylesterase inhibitor superfamily protein
chromosome 1	NC_003070.9	538000	539805	+	839433	CLPP5	AT1G02560	NP_563657.1	298	nuclear encoded CLP protease 5
chromosome 1	NC_003070.9	541380	542216	+	839485		AT1G02570	NP_171758.2	278	transmembrane protein
chromosome 1	NC_003070.9	543153	543983	+	10723100		AT1G02575	NP_001184891.1	276	transmembrane protein
chromosome 1	NC_003070.9	544796	548994	+	839422	MEA	AT1G02580	NP_563658.1	689	SET domain-containing protein
chromosome 1	NC_003070.9	552138	552761	-	839372		AT1G02590	NP_171760.1	89	Aldehyde oxidase/xanthine dehydrogenase	 molybdopterin binding protein
chromosome 1	NC_003070.9	553181	555854	-	837915		AT1G02610	NP_171761.2	221	RING/FYVE/PHD zinc finger superfamily protein
chromosome 1	NC_003070.9	557092	557668	+	839269		AT1G02620	NP_001318907.1	122	Ras-related small GTP-binding family protein
chromosome 1	NC_003070.9	561007	562382	-	839240		AT1G02630	NP_171763.1	389	Nucleoside transporter family protein
chromosome 1	NC_003070.9	564293	567580	+	837940	BXL2	AT1G02640	NP_563659.1	768	beta-xylosidase 2
chromosome 1	NC_003070.9	568704	570418	+	837951		AT1G02650	NP_171765.1	513	Tetratricopeptide repeat (TPR)-like superfamily protein
chromosome 1	NC_003070.9	572187	574746	-	839544		AT1G02660	NP_563660.1	713	alpha/beta-Hydrolases superfamily protein
chromosome 1	NC_003070.9	576562	580299	+	839532		AT1G02670	NP_001321902.1	690	P-loop containing nucleoside triphosphate hydrolases superfamily protein
chromosome 1	NC_003070.9	581084	581919	+	837962	TAF13	AT1G02680	NP_171768.2	126	TBP-associated factor 13
chromosome 1	NC_003070.9	584397	587036	+	839517	IMPA-6	AT1G02690	NP_973743.1	539	importin alpha isoform 6
chromosome 1	NC_003070.9	588367	589232	+	839492		AT1G02700	NP_563661.1	247	GATA transcription factor-like protein
chromosome 1	NC_003070.9	589584	590406	+	28716024		AT1G02705	NP_001322819.1	141	hypothetical protein AT1G02705
chromosome 1	NC_003070.9	589706	589996	-	839483		AT1G02710	NP_171771.1	96	glycine-rich protein
chromosome 1	NC_003070.9	592115	593200	+	839475	GATL5	AT1G02720	NP_171772.1	361	galacturonosyltransferase 5
chromosome 1	NC_003070.9	594697	598473	-	839467	CSLD5	AT1G02730	NP_171773.1	1181	cellulose synthase-like D5
chromosome 1	NC_003070.9	599734	602021	-	839455		AT1G02740	NP_171774.2	327	MRG family protein
chromosome 1	NC_003070.9	602673	604134	+	839432		AT1G02750	NP_171775.2	221	Drought-responsive family protein
chromosome 1	NC_003070.9	605071	606624	-	839421		AT1G02770	NP_171776.2	316	hypothetical protein AT1G02770
chromosome 1	NC_003070.9	608120	609391	-	839407	emb2386	AT1G02780	NP_171777.1	214	Ribosomal protein L19e family protein
chromosome 1	NC_003070.9	610681	612225	-	839391	PGA4	AT1G02790	NP_171778.1	422	polygalacturonase 4
chromosome 1	NC_003070.9	613386	616103	-	839385	CEL2	AT1G02800	NP_171779.1	501	cellulase 2
chromosome 1	NC_003070.9	618284	620333	+	838078		AT1G02810	NP_563662.1	579	Plant invertase/pectin methylesterase inhibitor superfamily
chromosome 1	NC_003070.9	620773	621222	+	839360		AT1G02813	NP_563663.1	149	pectinesterase (Protein of unknown function	 DUF538)
chromosome 1	NC_003070.9	621637	622137	+	839308		AT1G02816	NP_563664.1	166	pectinesterase (Protein of unknown function	 DUF538)
chromosome 1	NC_003070.9	623933	624304	-	839304	LEA3	AT1G02820	NP_171781.1	91	Late embryogenesis abundant 3 (LEA3) family protein
chromosome 1	NC_003070.9	625145	625608	-	838098		AT1G02830	NP_171782.1	127	Ribosomal L22e protein family
chromosome 1	NC_003070.9	626918	629583	+	839262	SR34	AT1G02840	NP_850933.1	303	RNA-binding (RRM/RBD/RNP motifs) family protein
chromosome 1	NC_003070.9	630569	633085	+	839435	BGLU11	AT1G02850	NP_973746.3	521	beta glucosidase 11
chromosome 1	NC_003070.9	635474	637083	+	839559	NLA	AT1G02860	NP_563667.1	335	SPX (SYG1/Pho81/XPR1) domain-containing protein
chromosome 1	NC_003070.9	637401	638603	-	839496		AT1G02870	NP_563668.1	193	nucleolar-like protein
chromosome 1	NC_003070.9	643063	644485	-	839303	TPK1	AT1G02880	NP_001321568.1	273	thiamin pyrophosphokinase1
chromosome 1	NC_003070.9	645372	651797	-	839507		AT1G02890	NP_171788.3	1246	AAA-type ATPase family protein
chromosome 1	NC_003070.9	653976	654338	-	839389	RALF1	AT1G02900	NP_171789.1	120	rapid alkalinization factor 1
chromosome 1	NC_003070.9	655749	658125	-	839350	LPA1	AT1G02910	NP_171790.1	453	tetratricopeptide repeat (TPR)-containing protein
chromosome 1	NC_003070.9	658886	659705	-	839295	GSTF7	AT1G02920	NP_171791.1	209	glutathione S-transferase 7
chromosome 1	NC_003070.9	661363	662191	-	839515	GSTF6	AT1G02930	NP_171792.1	208	glutathione S-transferase 6
chromosome 1	NC_003070.9	663079	664277	-	839479	GSTF5	AT1G02940	NP_001322019.1	281	glutathione S-transferase (class phi) 5
chromosome 1	NC_003070.9	665308	666456	-	838240	GSTF4	AT1G02950	NP_001320441.1	255	glutathione S-transferase F4
chromosome 1	NC_003070.9	667002	669773	-	839363		AT1G02960	NP_849582.1	471	kinetochore protein
chromosome 1	NC_003070.9	671661	672814	-	839537		AT1G02965	NP_683271.1	162	hypothetical protein AT1G02965
chromosome 1	NC_003070.9	673408	676127	+	839453	WEE1	AT1G02970	NP_171796.1	500	WEE1-like kinase
chromosome 1	NC_003070.9	677869	681212	+	839415	CUL2	AT1G02980	NP_001318910.1	742	cullin 2
chromosome 1	NC_003070.9	681724	686996	-	839380		AT1G02990	NP_001320193.1	1278	hypothetical protein AT1G02990
chromosome 1	NC_003070.9	688057	692453	-	839315	PEX6	AT1G03000	NP_171799.2	941	peroxin 6
chromosome 1	NC_003070.9	693480	696188	+	839556		AT1G03010	NP_171800.1	634	Phototropic-responsive NPH3 family protein
chromosome 1	NC_003070.9	698207	698515	-	839505		AT1G03020	NP_171801.1	102	Thioredoxin superfamily protein
chromosome 1	NC_003070.9	701621	703568	+	839473		AT1G03030	NP_171802.2	301	P-loop containing nucleoside triphosphate hydrolases superfamily protein
chromosome 1	NC_003070.9	704279	706457	-	839446		AT1G03040	NP_001321993.1	333	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
chromosome 1	NC_003070.9	707726	709860	+	839416		AT1G03050	NP_171804.1	599	ENTH/ANTH/VHS superfamily protein
chromosome 1	NC_003070.9	710102	711763	-	838334	D27	AT1G03055	NP_563673.1	264	beta-carotene isomerase D27-like protein
chromosome 1	NC_003070.9	712971	726891	-	839323	SPI	AT1G03060	NP_171805.1	3601	BEACH-DOMAIN HOMOLOG A1
chromosome 1	NC_003070.9	730148	731379	+	839581		AT1G03070	NP_001320512.1	247	Bax inhibitor-1 family protein
chromosome 1	NC_003070.9	731794	737332	-	838350	NET1D	AT1G03080	NP_001322259.1	1733	kinase interacting (KIP1-like) family protein
